princess,dialogue,word_count
anna,Huh?,1
anna,Yeah?,1
anna,"No, no, no. You didn't.  I've been up for hours...!  Who is it?",13
anna,Of course! Ready for what?,5
anna,My sister's corneration...  It's coronation day!,6
anna,It's coronation day!,3
anna,It's only for today!,4
anna,It's agony to wait!,4
anna,"The gate!  For the first time in forever,",8
anna,I'm getting what I'm dreaming of!,6
anna,"A chance to change my lonely world,",7
anna,A chance to find true love!,6
anna,"I know it all ends tomorrow, so it has to be today! 'Cause for the first time in forever, for the first time in forever...! Nothing's in my way!!!  Hey!",30
anna,Hey. Uh...no. No. I'm...I'm okay.,5
anna,"Yeah, I...I just wasn't looking where I was going. But I'm great, actually.",13
anna,Princess Anna of Arendelle.,4
anna,Wooh!,1
anna,Hi...again.,1
anna,This is awkward.,3
anna,"Not you're awkward, but just because we're...I'm awkward.",8
anna,"You're gorgeous. Wait, what?",4
anna,"No. No, no. It's fine. I'm not that Princess. I mean, if you'd hit my sister Elsa, it would be... yeash! Cause, you know...   Hello. But, lucky you, it's...it's just me.",31
anna,The bells. The coronation. I... I...I better go. I have to go. I better go. Uh...  Bye!,17
anna,"Oh, here? Are you sure? I don't think I'm suppose to...  Oh. Okay.",13
anna,Hi...Hi me...?  Oh. Um...hi.,4
anna,"Thank you. You look beautifuller. I mean, not fuller. You don't look fuller, but more...more beautiful.",16
anna,It's warmer than I thought.,5
anna,What?,1
anna,"Oh, I don't think...",4
anna,Ow! Ow.,2
anna,No.,1
anna,Oh!,1
anna,Ah! Especially for a man in heels.,7
anna,I've never been better. This is so nice. I wish it could be like this all the time.,18
anna,"Why not? I mean, if we...",6
anna,Excuse me for a minute.,5
anna,Hans!   I often had the whole parlor to myself to slide...  Oops. Sorry.  Your physique helps I'm sure too.,19
anna,I was born with it.  Although I dreamt I was kissed by a troll.,14
anna,"Yeah, The whole thing! You got it.  Okay. Wait, wait. So you have how many brothers?",16
anna,That's horrible.,2
anna,"And sisters. Elsa and I were really close when we were little.  But then, one day she just shut me out, and...and I never knew why.",26
anna,"Okay, can I just say something crazy?",7
anna,All my life has been a series of doors in my face.  And then suddenly I bump into you.,19
anna,But with you...,3
anna,I see your face.,4
anna,Love is an open door...,5
anna,With you!,2
anna,With you!,2
